7th_yReal,7th_yArima,7th_yHolt,7th_yEnsembled
1176,1220.3201675476805,1177.381787549978,1199
634,613.409401828677,606.6548505581752,611
2910,2802.291046224148,2766.479176858331,2785
723,764.4014934932339,775.2352815048689,770
25,19.0,19.0,19
24,23.0,23.0,23
3144,3217.7016292511585,3141.578910735352,3180
1473,1374.3828880761375,1371.3940849755659,1373
103,97.64235878967618,104.44433363475966,102
2926,2919.0185923375575,2946.932824359497,2933
28,28.0,28.0,28
1015,1005.9999999999125,1027.0314966552144,1017
435,441.8938344227929,444.8256416363305,444
180,217.79948073326003,238.16557889524523,228
1319,1380.6924099665328,1376.7795882538815,1379
541,563.4475396725269,556.6029759909607,561
14925,15810.00457230772,15197.705008416147,15504
1518,1650.7979290948515,1621.8928163892103,1637
65,63.15893304343136,58.71718708875696,61
2027,2787.1371008259885,2787.2193023661066,2788
3772,3429.264151609126,2764.0011124724606,3097
75,87.50181900427393,85.54868598727316,87
7281,6856.999999999988,6653.814107897185,6756
41889,45044.18112724147,44108.34695369229,44577
54,35.0,35.0,35
6,5.0,5.0,5
609,598.2241900998566,597.8623327859573,599
1368,1376.6472159682517,1378.4925779311845,1378
45757,49726.0,49725.642170189094,49726
138,136.0,136.0,136
1024,929.414317955001,918.0772846412565,924
609,651.790365531902,654.0375822531778,653
73,56.0,219.69027115524617,138
122,122.0,122.0,122
1163,868.4629891970396,874.3368631431722,872
3401,2526.3593242247634,2443.7420636529864,2486
1795,1671.073401896132,1705.6340630129139,1689
-1,13.0,13.0,13
257,246.0,246.0,246
118,124.7606995651801,127.35134301754617,127
256,264.77512115252347,263.24863124793825,265
772,801.3006210900633,768.158829266481,785
13718,11880.697188781158,11717.260772003969,11799
26,29.265403720538867,28.886007830500724,30
20965,19476.772165447568,19344.74566193885,19411
326,345.7191348189005,328.5090102465956,338
14,15.247030560926401,14.633527906757696,15
33,23.0,23.0,23
11296,10958.971965883879,10735.331498476082,10848
991,991.0,991.0,991
593,588.4714549570665,607.2869941384273,598
579,579.0,579.0,579
355,352.61836994880196,355.14163912959805,354
139,139.0,139.0,139
1582,1579.9999999999857,1601.6822606925584,1591
254,254.0,254.0,254
147,146.0,146.0,146
168,168.0,168.0,168
328,327.0,327.0,327
921,945.985824990125,1131.770493231241,1039
1276,1276.0,1276.0,1276
1033,1048.0482308510955,1054.2353442054011,1052
