7th_yReal,7th_yArima,7th_yHolt,7th_yEnsembled
1279,1973.425835481706,1896.3354111330036,1935
663,858.4076533958824,880.791529299161,870
3007,3827.4268805581255,3783.114282046367,3806
723,742.6412768194434,745.2414524526775,744
25,31.473011234635308,30.017342260915584,31
24,29.821298356365332,27.740452703945966,29
3435,4453.623466746634,4450.000594660305,4452
1523,1997.942013841533,1974.8210196908715,1987
104,104.0,104.0,104
2976,2983.7667174879552,3011.9658201528177,2998
28,28.0,28.0,28
1026,1041.9999999999836,1040.2435209373011,1042
438,444.59285165045515,445.96539380676177,446
207,189.27654351109322,245.66729244220778,218
1337,1362.5532817818344,1369.8869546934852,1367
546,546.0,546.0,546
15002,15899.567282574839,15518.369705287656,15709
1548,1840.299076151133,1812.6618513639287,1827
72,95.36848162794638,94.03852899622336,95
2217,3049.7758282501127,3124.108743107757,3087
4186,7910.755712902675,7395.820596763351,7654
76,81.1422773946607,78.69463325826935,80
8022,15579.27431034008,13398.891701022883,14490
42797,51776.02859346941,51091.12063739557,51434
54,54.0,54.0,54
7,8.603196670646925,8.25795912140124,9
703,1090.3897331643816,1009.6396416509044,1051
1413,1704.1083244164179,1677.3328676626934,1691
50036,84268.0,81434.16320389482,82852
138,138.0,138.0,138
1097,1547.5688153541907,1516.35365655144,1532
616,708.0929491252774,697.8405857076636,703
82,108.13627550892626,111.9754796186912,111
122,122.0,122.0,122
1334,1772.3820948661476,1789.7121254139245,1782
3720,5738.429253020579,5753.250974392449,5746
1824,2301.3521080642936,2222.9187698481737,2263
-1,-1.0,-17.06253006168288,-9
262,284.10833860881473,280.07315438135026,283
118,118.0,118.0,118
256,257.50249305253914,251.4719572824638,255
827,1110.6216823348263,1105.1651127864966,1108
14068,19451.751336057823,19096.05900587623,19274
26,26.0,26.0,26
21838,29493.1480219215,29040.55620073969,29267
331,367.31880110361163,369.2758409384725,369
16,20.342193397355647,19.912271288520852,21
33,33.0,33.0,33
11812,15706.783928275994,15574.316618885567,15641
991,991.0,991.0,991
593,593.0,593.0,593
579,579.0,579.0,579
355,355.0,355.0,355
139,139.0,139.0,139
1585,1609.0000000000364,1609.7336985695874,1610
254,254.0,254.0,254
