7th_yReal,7th_yArima,7th_yHolt,7th_yEnsembled
42,60,60,60
27,30,30,30
407,462,462,462
37,37,37,37
2,2,2,2
3,3,3,3
165,232,232,232
24,24,24,24
3,3,3,3
31,39,39,39
0,0,0,0
6,6,6,6
4,4,4,4
8,11,11,11
16,20,20,20
7,7,7,7
522,654,654,654
20,20,20,20
11,15,15,15
8,10,10,10
127,199,199,199
6,9,9,9
60,83,83,83
6490,8422,8422,8422
1,1,1,1
0,0,0,0
43,92,92,92
54,67,67,67
3331,5313,5313,5313
1,1,1,1
52,71,71,71
41,52,52,52
1,1,1,1
0,0,0,0
43,43,43,43
68,94,94,94
94,126,126,126
-1,0,0,0
6,6,6,6
0,0,0,0
3,3,3,3
16,32,32,32
806,1202,1202,1202
0,0,0,0
1243,2232,2232,2232
4,4,4,4
0,0,0,0
0,0,0,0
168,245,245,245
6,6,6,6
8,8,8,8
6,6,6,6
1,1,1,1
2,2,2,2
8,8,8,8
2,2,2,2
2,2,2,2
6,6,6,6
6,6,6,6
13,13,13,13
22,22,22,22
4,4,4,4
4512,4512,4512,4512
4,4,4,4
1,1,1,1
0,0,0,0
1,1,1,1
1,1,1,1
2,2,2,2
0,0,0,0
0,0,0,0
0,0,0,0
3,3,3,3
7,7,7,7
7,7,7,7
0,0,0,0
3,3,3,3
3,3,3,3
0,0,0,0
3,3,3,3
2,2,2,2
1,1,1,1
215,314,314,314
6,6,6,6
25,25,25,25
6,6,6,6
14,21,21,21
50,68,68,68
13,13,13,13
43,63,63,63
13,16,16,16
210,252,252,252
0,0,0,0
0,0,0,0
394,483,483,483
2,2,2,2
265,352,352,352
560,745,745,745
287,384,384,384
8,11,11,11
1,1,1,1
0,0,0,0
45,59,59,59
1,1,1,1
3,3,3,3
0,0,0,0
172,448,448,448
1,1,1,1
0,0,0,0
12,12,12,12
4,4,4,4
0,0,0,0
0,0,0,0
0,0,0,0
2,2,2,2
14,14,14,14
21856,26443,26443,26443
2,2,2,2
1,1,1,1
5,7,7,7
5575,7619,7619,7619
9,9,9,9
125,150,150,150
11,17,17,17
6,6,6,6
7,7,7,7
5,8,8,8
0,0,0,0
47,60,60,60
239,342,342,342
10,10,10,10
721,1069,1069,1069
647,846,846,846
5481,6201,6201,6201
83,83,83,83
794,1120,1120,1120
192,239,239,239
25549,28899,28899,28899
6,6,6,6
328,618,618,618
7,7,7,7
20,27,27,27
14,14,14,14
240,254,254,254
14,27,27,27
8,11,11,11
11,17,17,17
22,24,24,24
8,8,8,8
1,1,1,1
40,52,52,52
83,103,103,103
0,0,0,0
95,109,109,109
0,0,0,0
3,3,3,3
1,1,1,1
9,9,9,9
1069,2048,2048,2048
80,115,115,115
4,6,6,6
0,0,0,0
5,5,5,5
155,193,193,193
0,0,0,0
0,0,0,0
2,2,2,2
1,1,1,1
12,17,17,17
4177,5267,5267,5267
17,34,34,34
3,4,4,4
24,33,33,33
31,55,55,55
56,69,69,69
194,244,244,244
9,14,14,14
237,405,405,405
146,199,199,199
0,0,0,0
9,12,12,12
572,935,935,935
462,583,583,583
454,656,656,656
820,1074,1074,1074
10,14,14,14
545,739,739,739
555,966,966,966
0,0,0,0
0,0,0,0
0,0,0,0
40,40,40,40
121,175,175,175
6,11,11,11
125,125,125,125
0,0,0,0
12,16,16,16
15,23,23,23
79,89,89,89
16,24,24,24
75,115,115,115
22157,25852,25852,25852
7,7,7,7
16,26,26,26
1,1,1,1
2021,2931,2931,2931
1549,1831,1831,1831
6,6,6,6
10,10,10,10
50,58,58,58
6,6,6,6
8,8,8,8
38,38,38,38
2491,3457,3457,3457
0,0,0,0
187,292,292,292
56,88,88,88
5,5,5,5
1,1,1,1
29,45,45,45
0,0,0,0
16,46,46,46
0,0,0,0
18738,23842,23842,23842
12,16,16,16
49954,76610,76610,76610
7,9,9,9
10,10,10,10
0,0,0,0
3,3,3,3
4,5,5,5
1,1,1,1
0,0,0,0
0,0,0,0
0,0,0,0
3,3,3,3
0,0,0,0
2,2,2,2
0,0,0,0
0,0,0,0
2,2,2,2
4,4,4,4
0,0,0,0
21,32,32,32
0,0,0,0
0,0,0,0
0,0,0,0
12,12,12,12
5,5,5,5
0,0,0,0
1,1,1,1
1,1,1,1
2,2,2,2
1,1,1,1
1,1,1,1
1,0,0,0
0,0,0,0
3,4,4,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
